raw_comp_writers_text,CLEAN_TEXT,split_phrases,preproc_phrases,PREPROC_OUT,"ner_phrases_pos_(0.25, 0.25)","NER_OUT_pos_(0.25, 0.25)",ner_phrases_drop_(0.25),NER_OUT_drop_(0.25),reference_labels,predicted_labels,all_phrases,edit_distance,bleu_score
Dafydd Ieuan/Gruff Rhys/Huw Bunford/Cian Ciaran/Guto Pryce,Dafydd Ieuan/Gruff Rhys/Huw Bunford/Cian Ciaran/Guto Pryce,"['Dafydd Ieuan', 'Gruff Rhys', 'Huw Bunford', 'Cian Ciaran', 'Guto Pryce']","['Dafydd Ieuan', 'Gruff Rhys', 'Huw Bunford', 'Cian Ciaran', 'Guto Pryce']",Dafydd Ieuan/Gruff Rhys/Huw Bunford/Cian Ciaran/Guto Pryce,"['Dafydd Ieuan', 'Gruff Rhys', 'Huw Bunford', 'Cian Ciaran', 'Guto Pryce']",Dafydd Ieuan/Gruff Rhys/Huw Bunford/Cian Ciaran/Guto Pryce,"['Dafydd Ieuan', 'Huw Bunford', 'Cian Ciaran', 'Guto Pryce']",Dafydd Ieuan/Huw Bunford/Cian Ciaran/Guto Pryce,"[1, 1, 1, 1, 1]","[1, 0, 1, 1, 1]","['Guto Pryce', 'Gruff Rhys', 'Cian Ciaran', 'Huw Bunford', 'Dafydd Ieuan']",33,0.6358881766016378
"Ajala, Burger, Dawood & Wilke (Connell & Tujamo)",,"['Ajala', 'Burger', 'Dawood', 'Wilke', 'Connell', 'Tujamo']","['Ajala', 'Burger', 'Dawood', 'Wilke', 'Connell', 'Tujamo']",Ajala/Burger/Dawood/Wilke/Connell/Tujamo,"['Ajala', 'Burger', 'Dawood', 'Wilke', 'Connell', 'Tujamo']",Ajala/Burger/Dawood/Wilke/Connell/Tujamo,"['Ajala', 'Dawood', 'Wilke', 'Connell', 'Tujamo']",Ajala/Dawood/Wilke/Connell/Tujamo,"[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","['Ajala', 'Wilke', 'Dawood', 'Connell', 'Tujamo']",33,0.0
A. Petrov,A. Petrov,['A. Petrov'],['A. Petrov'],A. Petrov,['A. Petrov'],A. Petrov,['A. Petrov'],A. Petrov,[1],[1],['A. Petrov'],0,1.0
Rx Papi,Rx Papi,['Rx Papi'],['Rx Papi'],Rx Papi,['Rx Papi'],Rx Papi,[],,[1],[0],['Rx Papi'],7,0.0
Plash/asthma,Plash/asthma,"['Plash', 'asthma']","['Plash', 'asthma']",Plash/asthma,"['Plash', 'asthma']",Plash/asthma,['asthma'],asthma,"[1, 1]","[0, 1]","['Plash', 'asthma']",6,0.11633369384516798
Hovhannes Hovhannisyan/Grigorios Lygkas/Ashot Petrosyan/Njaziljan Veizi,Hovhannes Hovhannisyan/Grigorios Lygkas/Ashot Petrosyan/Njaziljan Veizi,"['Hovhannes Hovhannisyan', 'Grigorios Lygkas', 'Ashot Petrosyan', 'Njaziljan Veizi']","['Hovhannes Hovhannisyan', 'Grigorios Lygkas', 'Ashot Petrosyan', 'Njaziljan Veizi']",Hovhannes Hovhannisyan/Grigorios Lygkas/Ashot Petrosyan/Njaziljan Veizi,"['Hovhannes Hovhannisyan', 'Grigorios Lygkas', 'Ashot Petrosyan', 'Njaziljan Veizi']",Hovhannes Hovhannisyan/Grigorios Lygkas/Ashot Petrosyan/Njaziljan Veizi,"['Hovhannes Hovhannisyan', 'Grigorios Lygkas', 'Ashot Petrosyan', 'Njaziljan Veizi']",Hovhannes Hovhannisyan/Grigorios Lygkas/Ashot Petrosyan/Njaziljan Veizi,"[1, 1, 1, 1]","[1, 1, 1, 1]","['Ashot Petrosyan', 'Grigorios Lygkas', 'Hovhannes Hovhannisyan', 'Njaziljan Veizi']",0,1.0
Rhema Loseke,Rhema Loseke,['Rhema Loseke'],['Rhema Loseke'],Rhema Loseke,['Rhema Loseke'],Rhema Loseke,['Rhema Loseke'],Rhema Loseke,[1],[1],['Rhema Loseke'],0,1.0
Mariglen Hazizaj,Mariglen Hazizaj,['Mariglen Hazizaj'],['Mariglen Hazizaj'],Mariglen Hazizaj,['Mariglen Hazizaj'],Mariglen Hazizaj,['Mariglen Hazizaj'],Mariglen Hazizaj,[1],[1],['Mariglen Hazizaj'],0,1.0
Lisandro Meza,Lisandro Meza,['Lisandro Meza'],['Lisandro Meza'],Lisandro Meza,['Lisandro Meza'],Lisandro Meza,['Lisandro Meza'],Lisandro Meza,[1],[1],['Lisandro Meza'],0,1.0
Jorge Airam Paez,Jorge Airam Paez,['Jorge Airam Paez'],['Jorge Airam Paez'],Jorge Airam Paez,['Jorge Airam Paez'],Jorge Airam Paez,['Jorge Airam Paez'],Jorge Airam Paez,[1],[1],['Jorge Airam Paez'],0,1.0
Nathan Ingalls & DJNATE,Nathan Ingalls/DJNATE,"['Nathan Ingalls', 'DJNATE']","['Nathan Ingalls', 'DJNATE']",Nathan Ingalls/DJNATE,"['Nathan Ingalls', 'DJNATE']",Nathan Ingalls/DJNATE,['Nathan Ingalls'],Nathan Ingalls,"[1, 1]","[1, 0]","['Nathan Ingalls', 'DJNATE']",7,0.11633369384516798
"PremeGotRacks,Lee Drilly",PremeGotRacks/Lee Drilly,"['PremeGotRacks', 'Lee Drilly']","['PremeGotRacks', 'Lee Drilly']",PremeGotRacks/Lee Drilly,"['PremeGotRacks', 'Lee Drilly']",PremeGotRacks/Lee Drilly,['Lee Drilly'],Lee Drilly,"[1, 1]","[1, 0]","['Lee Drilly', 'PremeGotRacks']",14,0.11633369384516798
Luny Vũ Duy Anh,,['Luny Vũ Duy Anh'],['Luny V Duy Anh'],Luny V Duy Anh,['Luny V Duy Anh'],Luny V Duy Anh,['Luny V Duy Anh'],Luny V Duy Anh,[0],[1],['Luny V Duy Anh'],14,0.0
KiSondrea Bradford,KiSondrea Bradford,['KiSondrea Bradford'],['KiSondrea Bradford'],KiSondrea Bradford,['KiSondrea Bradford'],KiSondrea Bradford,['KiSondrea Bradford'],KiSondrea Bradford,[1],[1],['KiSondrea Bradford'],0,1.0
"<Unknown>/Chery, Jean Richard",Chery/Jean Richard,"['<Unknown>', 'Chery', 'Jean Richard']","['Chery', 'Jean Richard']",Chery/Jean Richard,"['Chery', 'Jean Richard']",Chery/Jean Richard,"['Chery', 'Jean Richard']",Chery/Jean Richard,"[1, 1]","[1, 1]","['Chery', 'Jean Richard']",0,1.0
Stanley Peiris/Ajantha Ranasinghe/CeyMusic Publishing,Stanley Peiris/Ajantha Ranasinghe,"['Stanley Peiris', 'Ajantha Ranasinghe', 'CeyMusic Publishing']","['Stanley Peiris', 'Ajantha Ranasinghe', 'CeyMusic']",Stanley Peiris/Ajantha Ranasinghe/CeyMusic,"['Stanley Peiris', 'Ajantha Ranasinghe', 'CeyMusic']",Stanley Peiris/Ajantha Ranasinghe/CeyMusic,"['Stanley Peiris', 'Ajantha Ranasinghe']",Stanley Peiris/Ajantha Ranasinghe,"[1, 1]","[1, 1]","['Ajantha Ranasinghe', 'Stanley Peiris']",0,1.0
Vince Goode,Vince Goode,['Vince Goode'],['Vince Goode'],Vince Goode,['Vince Goode'],Vince Goode,['Vince Goode'],Vince Goode,[1],[1],['Vince Goode'],0,1.0
Extra Music/Kalesijski Dijamanti,Kalesijski Dijamanti,"['Extra Music', 'Kalesijski Dijamanti']","['Extra', 'Kalesijski Dijamanti']",Extra/Kalesijski Dijamanti,"['Extra', 'Kalesijski Dijamanti']",Extra/Kalesijski Dijamanti,['Kalesijski Dijamanti'],Kalesijski Dijamanti,[1],[1],['Kalesijski Dijamanti'],0,1.0
Jay David Saks,Jay David Saks,['Jay David Saks'],['Jay David Saks'],Jay David Saks,['Jay David Saks'],Jay David Saks,['Jay David Saks'],Jay David Saks,[1],[1],['Jay David Saks'],0,1.0
Mykola Mozhovyj,Mykola Mozhovyj,['Mykola Mozhovyj'],['Mykola Mozhovyj'],Mykola Mozhovyj,['Mykola Mozhovyj'],Mykola Mozhovyj,['Mykola Mozhovyj'],Mykola Mozhovyj,[1],[1],['Mykola Mozhovyj'],0,1.0
Raymond St. John,,['Raymond St. John'],['Raymond St. John'],Raymond St. John,['Raymond St. John'],Raymond St. John,['Raymond St. John'],Raymond St. John,[0],[1],['Raymond St. John'],16,0.0
Isaias Alberto,Isaias Alberto,['Isaias Alberto'],['Isaias Alberto'],Isaias Alberto,['Isaias Alberto'],Isaias Alberto,['Isaias Alberto'],Isaias Alberto,[1],[1],['Isaias Alberto'],0,1.0
Hank Cochran/Sony/ATV Music Publishing,Hank Cochran,"['Hank Cochran', 'Sony', 'ATV Music Publishing']","['Hank Cochran', 'ATV']",Hank Cochran/ATV,"['Hank Cochran', 'ATV']",Hank Cochran/ATV,['Hank Cochran'],Hank Cochran,[1],[1],['Hank Cochran'],0,1.0
SOLITARIO MUSICAL,SOLITARIO MUSICAL,['SOLITARIO MUSICAL'],['SOLITARIO MUSICAL'],SOLITARIO MUSICAL,['SOLITARIO MUSICAL'],SOLITARIO MUSICAL,[],,[1],[0],['SOLITARIO MUSICAL'],17,0.0
Joakim Brodén/Tommy Johansson,Joakim Brodén/Tommy Johansson,"['Joakim Brodén', 'Tommy Johansson']","['Joakim Brodén', 'Tommy Johansson']",Joakim Brodén/Tommy Johansson,"['Joakim Brodén', 'Tommy Johansson']",Joakim Brodén/Tommy Johansson,"['Joakim Brodén', 'Tommy Johansson']",Joakim Brodén/Tommy Johansson,"[1, 1]","[1, 1]","['Joakim Brodén', 'Tommy Johansson']",0,1.0
Samuel Robles,Samuel Robles,['Samuel Robles'],['Samuel Robles'],Samuel Robles,['Samuel Robles'],Samuel Robles,['Samuel Robles'],Samuel Robles,[1],[1],['Samuel Robles'],0,1.0
Quinton Deon Lee,Quinton Deon Lee,['Quinton Deon Lee'],['Quinton Deon Lee'],Quinton Deon Lee,['Quinton Deon Lee'],Quinton Deon Lee,['Quinton Deon Lee'],Quinton Deon Lee,[1],[1],['Quinton Deon Lee'],0,1.0
"Allen Thomas, Bryann Keith Trejo & Dillon Chase Darnell",Allen Thomas/Bryann Keith Trejo /Dillon Chase Darnell,"['Allen Thomas', 'Bryann Keith Trejo', 'Dillon Chase Darnell']","['Allen Thomas', 'Bryann Keith Trejo', 'Dillon Chase Darnell']",Allen Thomas/Bryann Keith Trejo/Dillon Chase Darnell,"['Allen Thomas', 'Bryann Keith Trejo', 'Dillon Chase Darnell']",Allen Thomas/Bryann Keith Trejo/Dillon Chase Darnell,"['Allen Thomas', 'Bryann Keith Trejo', 'Dillon Chase Darnell']",Allen Thomas/Bryann Keith Trejo/Dillon Chase Darnell,"[1, 1, 1]","[1, 1, 1]","['Dillon Chase Darnell', 'Allen Thomas', 'Bryann Keith Trejo']",0,1.0
Timothy Mills & Drianna Styles,Timothy Mills/Drianna Styles,"['Timothy Mills', 'Drianna Styles']","['Timothy Mills', 'Drianna Styles']",Timothy Mills/Drianna Styles,"['Timothy Mills', 'Drianna Styles']",Timothy Mills/Drianna Styles,"['Timothy Mills', 'Drianna Styles']",Timothy Mills/Drianna Styles,"[1, 1]","[1, 1]","['Timothy Mills', 'Drianna Styles']",0,1.0
Singga,Singga,['Singga'],['Singga'],Singga,['Singga'],Singga,['Singga'],Singga,[1],[1],['Singga'],0,1.0
Gunther Mende/Jennifer Rush/Candy De Rouge/Mary Susan Applegate,Gunther Mende/Jennifer Rush/Candy De Rouge/Mary Susan Applegate,"['Gunther Mende', 'Jennifer Rush', 'Candy De Rouge', 'Mary Susan Applegate']","['Gunther Mende', 'Jennifer Rush', 'Candy De Rouge', 'Mary Susan Applegate']",Gunther Mende/Jennifer Rush/Candy De Rouge/Mary Susan Applegate,"['Gunther Mende', 'Jennifer Rush', 'Candy De Rouge', 'Mary Susan Applegate']",Gunther Mende/Jennifer Rush/Candy De Rouge/Mary Susan Applegate,"['Gunther Mende', 'Jennifer Rush', 'Mary Susan Applegate']",Gunther Mende/Jennifer Rush/Mary Susan Applegate,"[1, 1, 1, 1]","[1, 0, 1, 1]","['Gunther Mende', 'Candy De Rouge', 'Jennifer Rush', 'Mary Susan Applegate']",15,0.5066641486392106
Coros Congregacionales D.P,Coros/Congregacionales,['Coros Congregacionales D.P'],['Coros Congregacionales D.P'],Coros Congregacionales D.P,['Coros Congregacionales D.P'],Coros Congregacionales D.P,[],,"[1, 1]","[0, 0]","['Coros', 'Congregacionales']",22,0.0
Fernando Borrego Linares,Fernando Borrego Linares,['Fernando Borrego Linares'],['Fernando Borrego Linares'],Fernando Borrego Linares,['Fernando Borrego Linares'],Fernando Borrego Linares,['Fernando Borrego Linares'],Fernando Borrego Linares,[1],[1],['Fernando Borrego Linares'],0,1.0
AFPI,,['AFPI'],['AFPI'],AFPI,['AFPI'],AFPI,[],,[],[],[],0,0.0
PATSYBRUCE/RONALD ROBERTPETERSON/WILLIAM E JRBRUCE,,"['PATSYBRUCE', 'RONALD ROBERTPETERSON', 'WILLIAM E JRBRUCE']","['PATSYBRUCE', 'RONALD ROBERTPETERSON', 'WILLIAM E JRBRUCE']",PATSYBRUCE/RONALD ROBERTPETERSON/WILLIAM E JRBRUCE,"['PATSYBRUCE', 'RONALD ROBERTPETERSON', 'WILLIAM E JRBRUCE']",PATSYBRUCE/RONALD ROBERTPETERSON/WILLIAM E JRBRUCE,"['PATSYBRUCE', 'RONALD ROBERTPETERSON', 'WILLIAM E JRBRUCE']",PATSYBRUCE/RONALD ROBERTPETERSON/WILLIAM E JRBRUCE,"[0, 0, 0]","[1, 1, 1]","['PATSYBRUCE', 'WILLIAM E JRBRUCE', 'RONALD ROBERTPETERSON']",50,0.0
Marvy Samuel & Mariam Helmy,Marvy Samuel /Mariam Helmy,"['Marvy Samuel', 'Mariam Helmy']","['Marvy Samuel', 'Mariam Helmy']",Marvy Samuel/Mariam Helmy,"['Marvy Samuel', 'Mariam Helmy']",Marvy Samuel/Mariam Helmy,"['Marvy Samuel', 'Mariam Helmy']",Marvy Samuel/Mariam Helmy,"[1, 1]","[1, 1]","['Mariam Helmy', 'Marvy Samuel']",0,1.0
Andres Allen/Hilarop Duran,Andres Allen/Hilarop Duran,"['Andres Allen', 'Hilarop Duran']","['Andres Allen', 'Hilarop Duran']",Andres Allen/Hilarop Duran,"['Andres Allen', 'Hilarop Duran']",Andres Allen/Hilarop Duran,"['Andres Allen', 'Hilarop Duran']",Andres Allen/Hilarop Duran,"[1, 1]","[1, 1]","['Andres Allen', 'Hilarop Duran']",0,1.0
Juan Gaytán/Rafael Carrión,Juan Gaytán/Rafael Carrión,"['Juan Gaytán', 'Rafael Carrión']","['Juan Gaytán', 'Rafael Carrión']",Juan Gaytán/Rafael Carrión,"['Juan Gaytán', 'Rafael Carrión']",Juan Gaytán/Rafael Carrión,"['Juan Gaytán', 'Rafael Carrión']",Juan Gaytán/Rafael Carrión,"[1, 1]","[1, 1]","['Rafael Carrión', 'Juan Gaytán']",0,1.0
Rene Perez,Rene Perez,['Rene Perez'],['Rene Perez'],Rene Perez,['Rene Perez'],Rene Perez,['Rene Perez'],Rene Perez,[1],[1],['Rene Perez'],0,1.0
Benno de Goeij,,['Benno de Goeij'],['Benno de Goeij'],Benno de Goeij,['Benno de Goeij'],Benno de Goeij,['Benno de Goeij'],Benno de Goeij,[0],[1],['Benno de Goeij'],14,0.0
Oleksii Romanenko,Oleksii Romanenko,['Oleksii Romanenko'],['Oleksii Romanenko'],Oleksii Romanenko,['Oleksii Romanenko'],Oleksii Romanenko,['Oleksii Romanenko'],Oleksii Romanenko,[1],[1],['Oleksii Romanenko'],0,1.0
Juice WRLD/Max Lord/NILS/Gezin,Juice WRLD/Max Lord/NILS/Gezin,"['Juice WRLD', 'Max Lord', 'NILS', 'Gezin']","['Juice WRLD', 'Max Lord', 'NILS', 'Gezin']",Juice WRLD/Max Lord/NILS/Gezin,"['Juice WRLD', 'Max Lord', 'NILS', 'Gezin']",Juice WRLD/Max Lord/NILS/Gezin,"['Max Lord', 'Gezin']",Max Lord/Gezin,"[1, 1, 1, 1]","[1, 0, 1, 0]","['Gezin', 'NILS', 'Max Lord', 'Juice WRLD']",16,0.11633369384516798
Electr7cSense/eldarqualizer,,"['Electr7cSense', 'eldarqualizer']","['Electr7cSense', 'eldarqualizer']",Electr7cSense/eldarqualizer,"['Electr7cSense', 'eldarqualizer']",Electr7cSense/eldarqualizer,['eldarqualizer'],eldarqualizer,[0],[1],['eldarqualizer'],13,0.0
Les McCann,Les McCann,['Les McCann'],['Les McCann'],Les McCann,['Les McCann'],Les McCann,['Les McCann'],Les McCann,[1],[1],['Les McCann'],0,1.0
Hooton/Grimes/Hunter,Hooton/Grimes/Hunter,"['Hooton', 'Grimes', 'Hunter']","['Hooton', 'Grimes', 'Hunter']",Hooton/Grimes/Hunter,"['Hooton', 'Grimes', 'Hunter']",Hooton/Grimes/Hunter,"['Grimes', 'Hunter']",Grimes/Hunter,"[1, 1, 1]","[1, 1, 0]","['Grimes', 'Hunter', 'Hooton']",7,0.6065306597126334
ZHANG YING,ZHANG YING,['ZHANG YING'],['ZHANG YING'],ZHANG YING,['ZHANG YING'],ZHANG YING,['ZHANG YING'],ZHANG YING,[1],[1],['ZHANG YING'],0,1.0
Ronnie Wilkins/John Hurley,Ronnie Wilkins/John Hurley,"['Ronnie Wilkins', 'John Hurley']","['Ronnie Wilkins', 'John Hurley']",Ronnie Wilkins/John Hurley,"['Ronnie Wilkins', 'John Hurley']",Ronnie Wilkins/John Hurley,"['Ronnie Wilkins', 'John Hurley']",Ronnie Wilkins/John Hurley,"[1, 1]","[1, 1]","['John Hurley', 'Ronnie Wilkins']",0,1.0
Bryle Santiago,Bryle Santiago,['Bryle Santiago'],['Bryle Santiago'],Bryle Santiago,['Bryle Santiago'],Bryle Santiago,['Bryle Santiago'],Bryle Santiago,[1],[1],['Bryle Santiago'],0,1.0
Oggyl lnu,Oggyl lnu,['Oggyl lnu'],['Oggyl lnu'],Oggyl lnu,['Oggyl lnu'],Oggyl lnu,['Oggyl lnu'],Oggyl lnu,[1],[1],['Oggyl lnu'],0,1.0
SADAIC,,['SADAIC'],['SADAIC'],SADAIC,['SADAIC'],SADAIC,['SADAIC'],SADAIC,[0],[1],['SADAIC'],6,0.0
Peter Hanna/Graham Andrew Muron/Matt Nemethy/Taylor Bird,Peter Hanna/Graham Andrew Muron/Matt Nemethy/Taylor Bird,"['Peter Hanna', 'Graham Andrew Muron', 'Matt Nemethy', 'Taylor Bird']","['Peter Hanna', 'Graham Andrew Muron', 'Matt Nemethy', 'Taylor Bird']",Peter Hanna/Graham Andrew Muron/Matt Nemethy/Taylor Bird,"['Peter Hanna', 'Graham Andrew Muron', 'Matt Nemethy', 'Taylor Bird']",Peter Hanna/Graham Andrew Muron/Matt Nemethy/Taylor Bird,"['Peter Hanna', 'Graham Andrew Muron', 'Matt Nemethy', 'Taylor Bird']",Peter Hanna/Graham Andrew Muron/Matt Nemethy/Taylor Bird,"[1, 1, 1, 1]","[1, 1, 1, 1]","['Peter Hanna', 'Taylor Bird', 'Matt Nemethy', 'Graham Andrew Muron']",0,1.0
Mijac Music,,['Mijac Music'],['Mijac'],Mijac,['Mijac'],Mijac,['Mijac'],Mijac,[0],[1],['Mijac'],5,0.0
Colin Moore/Beau Lamshed/Josh Burnett,Colin Moore/Beau Lamshed/Josh Burnett,"['Colin Moore', 'Beau Lamshed', 'Josh Burnett']","['Colin Moore', 'Beau Lamshed', 'Josh Burnett']",Colin Moore/Beau Lamshed/Josh Burnett,"['Colin Moore', 'Beau Lamshed', 'Josh Burnett']",Colin Moore/Beau Lamshed/Josh Burnett,"['Colin Moore', 'Beau Lamshed', 'Josh Burnett']",Colin Moore/Beau Lamshed/Josh Burnett,"[1, 1, 1]","[1, 1, 1]","['Josh Burnett', 'Colin Moore', 'Beau Lamshed']",0,1.0
"Chopsquad DJ,King Von",Chopsquad DJ/King Von,"['Chopsquad DJ', 'King Von']","['Chopsquad DJ', 'King Von']",Chopsquad DJ/King Von,"['Chopsquad DJ', 'King Von']",Chopsquad DJ/King Von,['King Von'],King Von,"[1, 1]","[0, 1]","['Chopsquad DJ', 'King Von']",13,0.11633369384516798
C KANTOLA MARKO MIKAEL/C LOPE VILLE PEKKA/PA LOPE & KANTOLA,KANTOLA/MARKO/MIKAEL/LOPE/VILLE/PEKKA/PA/LOPE/&/KANTOLA,"['C KANTOLA MARKO MIKAEL', 'C LOPE VILLE PEKKA', 'PA LOPE', 'KANTOLA']","['C KANTOLA MARKO MIKAEL', 'C LOPE VILLE PEKKA', 'LOPE', 'KANTOLA']",C KANTOLA MARKO MIKAEL/C LOPE VILLE PEKKA/LOPE/KANTOLA,"['C KANTOLA MARKO MIKAEL', 'C LOPE VILLE PEKKA', 'LOPE', 'KANTOLA']",C KANTOLA MARKO MIKAEL/C LOPE VILLE PEKKA/LOPE/KANTOLA,"['C KANTOLA MARKO MIKAEL', 'C LOPE VILLE PEKKA', 'LOPE']",C KANTOLA MARKO MIKAEL/C LOPE VILLE PEKKA/LOPE,"[0, 1, 1, 1, 1, 1, 0, 1, 1, 1]","[1, 0, 1, 0, 0, 0, 1, 0, 0, 0]","['C KANTOLA MARKO MIKAEL', 'PEKKA', 'LOPE', 'VILLE', '&', 'PA', 'C LOPE VILLE PEKKA', 'MARKO', 'KANTOLA', 'MIKAEL']",24,0.024383735476492117
Aydin Guzman,Aydin Guzman,['Aydin Guzman'],['Aydin Guzman'],Aydin Guzman,['Aydin Guzman'],Aydin Guzman,['Aydin Guzman'],Aydin Guzman,[1],[1],['Aydin Guzman'],0,1.0
The Zame,The Zame,['The Zame'],['The Zame'],The Zame,['The Zame'],The Zame,['The Zame'],The Zame,[1],[1],['The Zame'],0,1.0
"<Unknown>/Remy, Garner",Remy/Garner,"['<Unknown>', 'Remy', 'Garner']","['Remy', 'Garner']",Remy/Garner,"['Remy', 'Garner']",Remy/Garner,"['Remy', 'Garner']",Remy/Garner,"[1, 1]","[1, 1]","['Remy', 'Garner']",0,1.0
Vic Ruggiero,Vic Ruggiero,['Vic Ruggiero'],['Vic Ruggiero'],Vic Ruggiero,['Vic Ruggiero'],Vic Ruggiero,['Vic Ruggiero'],Vic Ruggiero,[1],[1],['Vic Ruggiero'],0,1.0
"<Unknown>/Edwards, Nick",Edwards/Nick,"['<Unknown>', 'Edwards', 'Nick']","['Edwards', 'Nick']",Edwards/Nick,"['Edwards', 'Nick']",Edwards/Nick,"['Edwards', 'Nick']",Edwards/Nick,"[1, 1]","[1, 1]","['Edwards', 'Nick']",0,1.0
Ravi Nagar & Rahul Nadiya,Ravi Nagar/Rahul Nadiya,"['Ravi Nagar', 'Rahul Nadiya']","['Ravi Nagar', 'Rahul Nadiya']",Ravi Nagar/Rahul Nadiya,"['Ravi Nagar', 'Rahul Nadiya']",Ravi Nagar/Rahul Nadiya,"['Ravi Nagar', 'Rahul Nadiya']",Ravi Nagar/Rahul Nadiya,"[1, 1]","[1, 1]","['Ravi Nagar', 'Rahul Nadiya']",0,1.0
Ronnie Cook/Ed James,Ronnie Cook/Ed James,"['Ronnie Cook', 'Ed James']","['Ronnie Cook', 'Ed James']",Ronnie Cook/Ed James,"['Ronnie Cook', 'Ed James']",Ronnie Cook/Ed James,"['Ronnie Cook', 'Ed James']",Ronnie Cook/Ed James,"[1, 1]","[1, 1]","['Ed James', 'Ronnie Cook']",0,1.0
Organo Juventud Mixteco,Organo Juventud Mixteco,['Organo Juventud Mixteco'],['Organo Juventud Mixteco'],Organo Juventud Mixteco,['Organo Juventud Mixteco'],Organo Juventud Mixteco,[],,[1],[0],['Organo Juventud Mixteco'],23,0.0
Seydou Chée,Seydou Chée,['Seydou Chée'],['Seydou Chée'],Seydou Chée,['Seydou Chée'],Seydou Chée,['Seydou Chée'],Seydou Chée,[1],[1],['Seydou Chée'],0,1.0
Hand Of Doom/Black String,Hand Of Doom/Black String,"['Hand Of Doom', 'Black String']","['Hand Of Doom', 'Black String']",Hand Of Doom/Black String,"['Hand Of Doom', 'Black String']",Hand Of Doom/Black String,['Hand Of Doom'],Hand Of Doom,"[1, 1]","[0, 1]","['Black String', 'Hand Of Doom']",13,0.11633369384516798
つんく♂/シャ乱Q,,"['つんく♂', 'シャ乱Q']",['Q'],Q,['Q'],Q,[],,[],[],[],0,0.0
CA D FENCE/CA VAN RAVENSTEIN MICHAEL/PA D-FENCE & ANGERNOIZER,D/FENCE/VAN/RAVENSTEIN/MICHAEL/PA/D-FENCE/&/ANGERNOIZER,"['CA D FENCE', 'CA VAN RAVENSTEIN MICHAEL', 'PA D-FENCE', 'ANGERNOIZER']","['D FENCE', 'VAN RAVENSTEIN MICHAEL', 'D-FENCE', 'ANGERNOIZER']",D FENCE/VAN RAVENSTEIN MICHAEL/D-FENCE/ANGERNOIZER,"['D FENCE', 'VAN RAVENSTEIN MICHAEL', 'D-FENCE', 'ANGERNOIZER']",D FENCE/VAN RAVENSTEIN MICHAEL/D-FENCE/ANGERNOIZER,['VAN RAVENSTEIN MICHAEL'],VAN RAVENSTEIN MICHAEL,"[1, 1, 1, 1, 1, 0, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","['RAVENSTEIN', 'MICHAEL', '&', 'PA', 'ANGERNOIZER', 'VAN RAVENSTEIN MICHAEL', 'D-FENCE', 'VAN', 'D', 'FENCE']",41,0.0
Callum James Trezise,Callum James Trezise,['Callum James Trezise'],['Callum James Trezise'],Callum James Trezise,['Callum James Trezise'],Callum James Trezise,['Callum James Trezise'],Callum James Trezise,[1],[1],['Callum James Trezise'],0,1.0
George Fotiadis,,['George Fotiadis'],['George Fotiadis'],George Fotiadis,['George Fotiadis'],George Fotiadis,['George Fotiadis'],George Fotiadis,[0],[1],['George Fotiadis'],15,0.0
Joshua L Wei/Zhuo Yi Joel Tan,Joshua L Wei/Zhuo Yi Joel Tan,"['Joshua L Wei', 'Zhuo Yi Joel Tan']","['Joshua L Wei', 'Zhuo Yi Joel Tan']",Joshua L Wei/Zhuo Yi Joel Tan,"['Joshua L Wei', 'Zhuo Yi Joel Tan']",Joshua L Wei/Zhuo Yi Joel Tan,"['Joshua L Wei', 'Zhuo Yi Joel Tan']",Joshua L Wei/Zhuo Yi Joel Tan,"[1, 1]","[1, 1]","['Zhuo Yi Joel Tan', 'Joshua L Wei']",0,1.0
Sandro Oliva/Francesca Contini,Sandro Oliva/Francesca Contini,"['Sandro Oliva', 'Francesca Contini']","['Sandro Oliva', 'Francesca Contini']",Sandro Oliva/Francesca Contini,"['Sandro Oliva', 'Francesca Contini']",Sandro Oliva/Francesca Contini,"['Sandro Oliva', 'Francesca Contini']",Sandro Oliva/Francesca Contini,"[1, 1]","[1, 1]","['Francesca Contini', 'Sandro Oliva']",0,1.0
"BONES,​ghost/\/ghoul",BONES/ghost/\/ghoul,"['BONES', '\u200bghost', '\\', 'ghoul']","['BONES', 'ghost', 'ghoul']",BONES/ghost/ghoul,"['BONES', 'ghost', 'ghoul']",BONES/ghost/ghoul,['ghoul'],ghoul,"[1, 1, 1, 1]","[1, 0, 0, 0]","['ghoul', 'BONES', 'ghost', '\\']",14,0.015744053406497194
ACID TIMMY,ACID TIMMY,['ACID TIMMY'],['ACID TIMMY'],ACID TIMMY,['ACID TIMMY'],ACID TIMMY,['ACID TIMMY'],ACID TIMMY,[1],[1],['ACID TIMMY'],0,1.0
"Ayebandits,SoFaygo",Ayebandits/SoFaygo,"['Ayebandits', 'SoFaygo']","['Ayebandits', 'SoFaygo']",Ayebandits/SoFaygo,"['Ayebandits', 'SoFaygo']",Ayebandits/SoFaygo,['SoFaygo'],SoFaygo,"[1, 1]","[0, 1]","['Ayebandits', 'SoFaygo']",11,0.11633369384516798
